name,role,scope,classification,cutover_action,rationale,identical,sha256_plugin,sha256_vault,bytes_plugin,bytes_vault,bytes_delta,model_plugin,model_vault,plugin_hash_changed_since_phase0,vault_hash_changed_since_phase0,vault_residue_markers,filename_plugin,filename_vault,classification_sugerida_phase0
revenue-ops,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,7260c33b27919451a28a74b45744e2a0649ae09671b30ca3339fc6e9ea74d23a,f21f99a98c288f6049e6a25e8f0785dd56170211d1dc970b7f40e8d8b80ddefb,4467,3632,835,opus,opus,no,no,identity_lider;wikilinks,revenue-ops.md,revenue-ops.md,CORE-GENERIC
revisor-textual,operational,VAULT_ONLY,PERSONAL-OVERLAY,vault overlay,editorial da casa; contem paths/PII; NUNCA publicar,,,c8a5032011bd06654dddbae358bc8dd0ac62439ced602a12b2405e6129462b1b,,12813,,,opus,,no,identity_lider;paths_or_project,,revisor-textual.md,PERSONAL-OVERLAY
scrum-master,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,13de2ee65e775af68a80c43c259591cbcf12b84cc49fffb3a02fdb14caa8163f,b5015ec2c7ad11d5dc38078c2549ae03ef904d952f1403f66a09d28a733c249a,10490,9553,937,opus,opus,no,no,identity_lider,scrum-master.md,scrum-master.md,CORE-GENERIC
security-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,950e30896865afaacbfa635711781e14933cea2895ff385f6177461b6e3f36a0,c2e2623629eab487213cbace5d3dd98608a84d63b327c5e475dc0b72cc885fb8,25834,24224,1610,opus,opus,yes,no,identity_lider;wikilinks;caveman;qt23,security-engineer.md,security-engineer.md,CORE-GENERIC
software-architect,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,f9d7a01cc6023ad5767fe1b8040ebd5a217a5156bfa127e7c09ee51ad5033c54,d3eb223dfc1c40a9c9ec3b059edd6cdc515c35512feaa92b72eaec9ce4aceccd,15617,13890,1727,opus,opus,no,no,identity_lider;wikilinks;caveman;qt23,software-architect.md,software-architect.md,CORE-GENERIC
support-engineer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,43278f5fa8e23948c7d5deb6cf1670dd2f44f61d91ff7d4621c371d1bf3d8584,3b6014477090d6821810961dbe3508904e9bb547f599166c4745674696d34d27,4370,3463,907,opus,opus,no,no,identity_lider;wikilinks,support-engineer.md,support-engineer.md,CORE-GENERIC
tech-lead,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,6726eef00799318138948860c93b2fc67735e5d5d381c61205255cec5897df53,f78ae3dde19bf3f4d4c9aa2d91749781334ae50f97ad2af22a7967bc9977815a,10076,8627,1449,opus,opus,no,no,identity_lider;wikilinks;caveman,tech-lead.md,tech-lead.md,CORE-GENERIC
technical-writer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,06b5d11ba02ee622c284791b97faa61f2a3c3f4bf481902688458dec6f2e98e0,15734eab41d30c6b61006c863f4d07c87394d0a75b7d8adee792fc54e7682476,15677,14541,1136,opus,opus,no,no,identity_lider;wikilinks,technical-writer.md,technical-writer.md,CORE-GENERIC
ux-researcher,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,34cde9a9864028b5d35726d82a9b8e2b8de498865ff4b6eeebbe90e281a6698c,e01202b335ddba8c7d63c7166b4ee4b9fe9d782749f22c3743578a9ce06b0025,4415,3541,874,opus,opus,no,no,identity_lider;wikilinks,ux-researcher.md,ux-researcher.md,CORE-GENERIC
ux-ui-designer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,b62b6b504822835e0d99da6e7031b6788766abc2c9522431c67d59744d27d8e5,ffb64926765b21eb1e6bb85baa79f2e2dc2357fc5757e3312ba3ff174d63b20b,15710,14384,1326,opus,opus,no,no,identity_lider;caveman;qt23,ux-ui-designer.md,ux-ui-designer.md,CORE-GENERIC
ux-writer,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,3b04c637f6f6ed9fbaa74d24b876dae1a76543f4741e75604dd9df5c1f4f6d03,7269c96b1caa00be2845087f9857068dede4dea72fdce51809600551d724c814,11860,10773,1087,opus,opus,no,no,identity_lider,ux-writer.md,ux-writer.md,CORE-GENERIC
visual-design-director,operational,INTERSECTION,CORE-GENERIC,plugin wins; depois delete vault copy,"papel core 0.2.0; plugin ja higienizado (docs relativos, sem identidade/wikilink/caveman). Copia vault e STALE apos canario. Residuo vault = overlay/STALE, nao portar.",no,942d3e04993f7e2b92da62a1f3c23c86f0f9a237d057047473bd042e8bd11a28,7e188dbd1e9574ea2d23402094191d73302474a46e132f31fb3b335b948ffbd4,23836,22847,989,opus,opus,no,no,identity_lider;wikilinks;brave;qt23,visual-design-director.md,visual-design-director.md,CORE-GENERIC
